id,stock_id,current_price,last_updated,details
1,11,0.2966,2025-07-15 15:14:14.052,"{""source"": ""WS""}"
2,6,2.8749,2025-07-15 15:14:14.577,"{""source"": ""WS""}"
3,12,9.014,2025-07-15 15:14:15.179,"{""source"": ""WS""}"
4,4,0.19043,2025-07-15 15:14:13.233,"{""source"": ""WS""}"
5,2,2992.61,2025-07-15 15:14:14.803,"{""source"": ""WS""}"
6,1,116158.42,2025-07-15 15:14:14.742,"{""source"": ""WS""}"
7,8,92.49,2025-07-15 15:14:14.585,"{""source"": ""WS""}"
8,3,158.39,2025-07-15 15:14:15.196,"{""source"": ""WS""}"
9,20,0.7193,2025-07-15 15:14:10.412,"{""source"": ""WS""}"
10,17,2.498,2025-07-15 15:14:12.275,"{""source"": ""WS""}"
11,14,2.506,2025-07-15 15:14:09.421,"{""source"": ""WS""}"
12,7,20.87,2025-07-15 15:14:13.738,"{""source"": ""WS""}"
13,19,3.885,2025-07-15 15:14:09.429,"{""source"": ""WS""}"
14,15,0.4482,2025-07-15 15:14:11.965,"{""source"": ""WS""}"
15,18,17.98,2025-07-15 15:14:09.786,"{""source"": ""WS""}"
16,9,485.8,2025-07-15 15:14:11.785,"{""source"": ""WS""}"
17,1,116157.18,2025-07-15 15:14:24.697,"{""source"": ""WS""}"
18,3,158.4,2025-07-15 15:14:24.647,"{""source"": ""WS""}"
19,4,0.1904,2025-07-15 15:14:24.025,"{""source"": ""WS""}"
20,10,15.33,2025-07-15 15:14:24.076,"{""source"": ""WS""}"
21,2,2992.66,2025-07-15 15:14:24.789,"{""source"": ""WS""}"
22,11,0.2966,2025-07-15 15:14:24.144,"{""source"": ""WS""}"
23,8,92.48,2025-07-15 15:14:21.845,"{""source"": ""WS""}"
24,15,0.4476,2025-07-15 15:14:24.113,"{""source"": ""WS""}"
25,18,17.98,2025-07-15 15:14:15.738,"{""source"": ""WS""}"
26,6,2.8742,2025-07-15 15:14:24.435,"{""source"": ""WS""}"
27,7,20.86,2025-07-15 15:14:22.878,"{""source"": ""WS""}"
28,20,0.7191,2025-07-15 15:14:22.22,"{""source"": ""WS""}"
29,13,4.501,2025-07-15 15:14:22.688,"{""source"": ""WS""}"
30,12,9.013,2025-07-15 15:14:23.143,"{""source"": ""WS""}"
31,17,2.498,2025-07-15 15:14:17.351,"{""source"": ""WS""}"
32,19,3.884,2025-07-15 15:14:20.626,"{""source"": ""WS""}"
33,14,2.506,2025-07-15 15:14:22.139,"{""source"": ""WS""}"
34,3,158.4,2025-07-15 15:14:32.732,"{""source"": ""WS""}"
35,2,2992.42,2025-07-15 15:14:33.008,"{""source"": ""WS""}"
36,1,116159.99,2025-07-15 15:14:33.213,"{""source"": ""WS""}"
37,8,92.47,2025-07-15 15:14:32.36,"{""source"": ""WS""}"
38,4,0.1904,2025-07-15 15:14:32.789,"{""source"": ""WS""}"
39,10,15.33,2025-07-15 15:14:31.415,"{""source"": ""WS""}"
40,12,9.015,2025-07-15 15:14:26.305,"{""source"": ""WS""}"
41,6,2.8743,2025-07-15 15:14:33.208,"{""source"": ""WS""}"
42,11,0.2965,2025-07-15 15:14:31.413,"{""source"": ""WS""}"
43,7,20.86,2025-07-15 15:14:32.452,"{""source"": ""WS""}"
44,15,0.4475,2025-07-15 15:14:32.662,"{""source"": ""WS""}"
45,14,2.505,2025-07-15 15:14:28.697,"{""source"": ""WS""}"
46,9,485.7,2025-07-15 15:14:31.267,"{""source"": ""WS""}"
47,19,3.884,2025-07-15 15:14:32.474,"{""source"": ""WS""}"
48,1,116176.08,2025-07-15 15:14:45.445,"{""source"": ""WS""}"
49,9,485.7,2025-07-15 15:14:43.335,"{""source"": ""WS""}"
50,2,2991.98,2025-07-15 15:14:44.418,"{""source"": ""WS""}"
51,19,3.884,2025-07-15 15:14:38.742,"{""source"": ""WS""}"
52,6,2.8745,2025-07-15 15:14:44.637,"{""source"": ""WS""}"
53,4,0.19042,2025-07-15 15:14:44.175,"{""source"": ""WS""}"
54,20,0.7193,2025-07-15 15:14:43.758,"{""source"": ""WS""}"
55,15,0.4472,2025-07-15 15:14:44.188,"{""source"": ""WS""}"
56,3,158.44,2025-07-15 15:14:43.785,"{""source"": ""WS""}"
57,14,2.507,2025-07-15 15:14:43.829,"{""source"": ""WS""}"
58,8,92.42,2025-07-15 15:14:43.184,"{""source"": ""WS""}"
59,11,0.2965,2025-07-15 15:14:42.959,"{""source"": ""WS""}"
60,12,9.016,2025-07-15 15:14:44.563,"{""source"": ""WS""}"
61,7,20.87,2025-07-15 15:14:44.11,"{""source"": ""WS""}"
62,10,15.33,2025-07-15 15:14:43.312,"{""source"": ""WS""}"
63,17,2.498,2025-07-15 15:14:41.442,"{""source"": ""WS""}"
64,4,0.19031,2025-07-15 15:14:55.319,"{""source"": ""WS""}"
65,2,2991.38,2025-07-15 15:14:55.473,"{""source"": ""WS""}"
66,1,116160.3,2025-07-15 15:14:55.236,"{""source"": ""WS""}"
67,11,0.2966,2025-07-15 15:14:54.008,"{""source"": ""WS""}"
68,8,92.41,2025-07-15 15:14:55.235,"{""source"": ""WS""}"
69,6,2.8736,2025-07-15 15:14:55.227,"{""source"": ""WS""}"
70,20,0.719,2025-07-15 15:14:50.35,"{""source"": ""WS""}"
71,15,0.4472,2025-07-15 15:14:54.039,"{""source"": ""WS""}"
72,7,20.86,2025-07-15 15:14:52.662,"{""source"": ""WS""}"
73,3,158.4,2025-07-15 15:14:54.714,"{""source"": ""WS""}"
74,10,15.33,2025-07-15 15:14:54,"{""source"": ""WS""}"
75,12,9.011,2025-07-15 15:14:53.565,"{""source"": ""WS""}"
76,14,2.505,2025-07-15 15:14:52.313,"{""source"": ""WS""}"
77,19,3.883,2025-07-15 15:14:53.677,"{""source"": ""WS""}"
78,9,485.7,2025-07-15 15:14:52.234,"{""source"": ""WS""}"
79,18,17.99,2025-07-15 15:14:52.163,"{""source"": ""WS""}"
80,6,2.8711,2025-07-15 15:15:02.582,"{""source"": ""WS""}"
81,3,158.31,2025-07-15 15:15:02.396,"{""source"": ""WS""}"
82,2,2990,2025-07-15 15:15:02.364,"{""source"": ""WS""}"
83,20,0.7186,2025-07-15 15:15:01.83,"{""source"": ""WS""}"
84,8,92.38,2025-07-15 15:15:01.325,"{""source"": ""WS""}"
85,1,116125.23,2025-07-15 15:15:02.554,"{""source"": ""WS""}"
86,4,0.19016,2025-07-15 15:15:02.045,"{""source"": ""WS""}"
87,7,20.83,2025-07-15 15:15:02.461,"{""source"": ""WS""}"
88,15,0.447,2025-07-15 15:15:02.776,"{""source"": ""WS""}"
89,11,0.2966,2025-07-15 15:15:02.772,"{""source"": ""WS""}"
90,14,2.504,2025-07-15 15:15:00.542,"{""source"": ""WS""}"
91,12,9,2025-07-15 15:15:01.752,"{""source"": ""WS""}"
92,19,3.88,2025-07-15 15:14:59.831,"{""source"": ""WS""}"
93,17,2.495,2025-07-15 15:15:02.696,"{""source"": ""WS""}"
94,10,15.32,2025-07-15 15:15:02.532,"{""source"": ""WS""}"
95,13,4.5,2025-07-15 15:14:57.689,"{""source"": ""WS""}"
96,9,485.6,2025-07-15 15:15:00.487,"{""source"": ""WS""}"
97,18,17.98,2025-07-15 15:15:00.823,"{""source"": ""WS""}"
98,6,2.8766,2025-07-15 15:15:13.961,"{""source"": ""WS""}"
99,2,2992.72,2025-07-15 15:15:15.889,"{""source"": ""WS""}"
100,1,116157.94,2025-07-15 15:15:15.724,"{""source"": ""WS""}"
101,11,0.2966,2025-07-15 15:15:15.728,"{""source"": ""WS""}"
102,3,158.57,2025-07-15 15:15:15.929,"{""source"": ""WS""}"
103,4,0.19049,2025-07-15 15:15:15.476,"{""source"": ""WS""}"
104,8,92.48,2025-07-15 15:15:13.945,"{""source"": ""WS""}"
105,15,0.4477,2025-07-15 15:15:15.29,"{""source"": ""WS""}"
106,12,9.027,2025-07-15 15:15:15.591,"{""source"": ""WS""}"
107,9,485.8,2025-07-15 15:15:13.611,"{""source"": ""WS""}"
108,7,20.87,2025-07-15 15:15:15.327,"{""source"": ""WS""}"
109,10,15.35,2025-07-15 15:15:15.12,"{""source"": ""WS""}"
110,20,0.7195,2025-07-15 15:15:15.855,"{""source"": ""WS""}"
111,14,2.509,2025-07-15 15:15:13.879,"{""source"": ""WS""}"
112,19,3.886,2025-07-15 15:15:12.104,"{""source"": ""WS""}"
113,13,4.505,2025-07-15 15:15:13.948,"{""source"": ""WS""}"
114,17,2.499,2025-07-15 15:15:12.576,"{""source"": ""WS""}"
115,18,18.01,2025-07-15 15:15:10.782,"{""source"": ""WS""}"
116,3,158.58,2025-07-15 15:15:25.361,"{""source"": ""WS""}"
117,4,0.19054,2025-07-15 15:15:25.624,"{""source"": ""WS""}"
118,2,2992.72,2025-07-15 15:15:25.614,"{""source"": ""WS""}"
119,1,116154.61,2025-07-15 15:15:25.279,"{""source"": ""WS""}"
120,6,2.8774,2025-07-15 15:15:25.565,"{""source"": ""WS""}"
121,7,20.86,2025-07-15 15:15:24.478,"{""source"": ""WS""}"
122,20,0.7194,2025-07-15 15:15:25.078,"{""source"": ""WS""}"
123,15,0.4479,2025-07-15 15:15:24.97,"{""source"": ""WS""}"
124,14,2.508,2025-07-15 15:15:21.018,"{""source"": ""WS""}"
125,13,4.505,2025-07-15 15:15:25.696,"{""source"": ""WS""}"
126,11,0.2967,2025-07-15 15:15:23.73,"{""source"": ""WS""}"
127,12,9.028,2025-07-15 15:15:25.012,"{""source"": ""WS""}"
128,8,92.49,2025-07-15 15:15:25.215,"{""source"": ""WS""}"
129,17,2.5,2025-07-15 15:15:22.57,"{""source"": ""WS""}"
130,10,15.36,2025-07-15 15:15:25.391,"{""source"": ""WS""}"
131,10,15.35,2025-07-15 15:15:30.419,"{""source"": ""WS""}"
132,4,0.19049,2025-07-15 15:15:34.907,"{""source"": ""WS""}"
133,15,0.4477,2025-07-15 15:15:33.822,"{""source"": ""WS""}"
134,2,2991.87,2025-07-15 15:15:35.86,"{""source"": ""WS""}"
135,9,486,2025-07-15 15:15:30.483,"{""source"": ""WS""}"
136,8,92.47,2025-07-15 15:15:31.265,"{""source"": ""WS""}"
137,1,116154.61,2025-07-15 15:15:35.923,"{""source"": ""WS""}"
138,6,2.8765,2025-07-15 15:15:35.893,"{""source"": ""WS""}"
139,11,0.2967,2025-07-15 15:15:34.222,"{""source"": ""WS""}"
140,3,158.56,2025-07-15 15:15:33.886,"{""source"": ""WS""}"
141,14,2.507,2025-07-15 15:15:31.935,"{""source"": ""WS""}"
142,7,20.87,2025-07-15 15:15:35.624,"{""source"": ""WS""}"
143,20,0.7187,2025-07-15 15:15:32.733,"{""source"": ""WS""}"
144,12,9.021,2025-07-15 15:15:32.462,"{""source"": ""WS""}"
145,17,2.499,2025-07-15 15:15:29.497,"{""source"": ""WS""}"
146,13,4.504,2025-07-15 15:15:30.47,"{""source"": ""WS""}"
147,19,3.885,2025-07-15 15:15:30.539,"{""source"": ""WS""}"
148,1,116202.75,2025-07-15 15:15:43.043,"{""source"": ""WS""}"
149,3,158.67,2025-07-15 15:15:43.023,"{""source"": ""WS""}"
150,2,2994.01,2025-07-15 15:15:43.04,"{""source"": ""WS""}"
151,11,0.2967,2025-07-15 15:15:42.228,"{""source"": ""WS""}"
152,4,0.19067,2025-07-15 15:15:43.032,"{""source"": ""WS""}"
153,20,0.7189,2025-07-15 15:15:42.899,"{""source"": ""WS""}"
154,12,9.029,2025-07-15 15:15:42.362,"{""source"": ""WS""}"
155,8,92.55,2025-07-15 15:15:42.733,"{""source"": ""WS""}"
156,19,3.888,2025-07-15 15:15:39.903,"{""source"": ""WS""}"
157,10,15.36,2025-07-15 15:15:42.05,"{""source"": ""WS""}"
158,17,2.5,2025-07-15 15:15:39.552,"{""source"": ""WS""}"
159,14,2.51,2025-07-15 15:15:39.555,"{""source"": ""WS""}"
160,6,2.8779,2025-07-15 15:15:43.052,"{""source"": ""WS""}"
161,15,0.4478,2025-07-15 15:15:42.94,"{""source"": ""WS""}"
162,13,4.507,2025-07-15 15:15:39.77,"{""source"": ""WS""}"
163,9,486.4,2025-07-15 15:15:41.293,"{""source"": ""WS""}"
164,7,20.88,2025-07-15 15:15:43.026,"{""source"": ""WS""}"
165,18,18.02,2025-07-15 15:15:39.946,"{""source"": ""WS""}"
166,1,116252.56,2025-07-15 15:15:55.576,"{""source"": ""WS""}"
167,4,0.19075,2025-07-15 15:15:55.595,"{""source"": ""WS""}"
168,2,2995.25,2025-07-15 15:15:55.632,"{""source"": ""WS""}"
169,3,158.75,2025-07-15 15:15:55.376,"{""source"": ""WS""}"
170,17,2.501,2025-07-15 15:15:54.979,"{""source"": ""WS""}"
171,20,0.7189,2025-07-15 15:15:55.532,"{""source"": ""WS""}"
172,6,2.8782,2025-07-15 15:15:55.211,"{""source"": ""WS""}"
173,11,0.2967,2025-07-15 15:15:55.318,"{""source"": ""WS""}"
174,19,3.891,2025-07-15 15:15:53.993,"{""source"": ""WS""}"
175,15,0.4484,2025-07-15 15:15:55.595,"{""source"": ""WS""}"
176,12,9.033,2025-07-15 15:15:50.015,"{""source"": ""WS""}"
177,8,92.55,2025-07-15 15:15:52.274,"{""source"": ""WS""}"
178,9,486.4,2025-07-15 15:15:51.843,"{""source"": ""WS""}"
179,7,20.88,2025-07-15 15:15:52.475,"{""source"": ""WS""}"
180,10,15.37,2025-07-15 15:15:54.765,"{""source"": ""WS""}"
181,14,2.512,2025-07-15 15:15:54.736,"{""source"": ""WS""}"
182,13,4.507,2025-07-15 15:15:47.683,"{""source"": ""WS""}"
183,18,18.02,2025-07-15 15:15:51.299,"{""source"": ""WS""}"
184,1,116240,2025-07-15 15:16:05.673,"{""source"": ""WS""}"
185,4,0.1907,2025-07-15 15:16:05.089,"{""source"": ""WS""}"
186,2,2994.82,2025-07-15 15:16:05.064,"{""source"": ""WS""}"
187,3,158.75,2025-07-15 15:16:05,"{""source"": ""WS""}"
188,18,18.03,2025-07-15 15:16:04.572,"{""source"": ""WS""}"
189,12,9.032,2025-07-15 15:16:04.67,"{""source"": ""WS""}"
190,19,3.89,2025-07-15 15:16:04.642,"{""source"": ""WS""}"
191,15,0.4481,2025-07-15 15:16:04.955,"{""source"": ""WS""}"
192,7,20.88,2025-07-15 15:16:04.974,"{""source"": ""WS""}"
