id,stock_id,price,trade_time_stamp
1,18,0.24932,2025-08-01 00:32:27.896
2,12,106.01,2025-08-01 00:32:27.971
3,9,3.659,2025-08-01 00:32:27.310
4,2,3689.14,2025-08-01 00:32:27.717
5,20,0.5661,2025-08-01 00:32:19.536
6,14,4.182,2025-08-01 00:32:09.529
7,1,115667.33,2025-08-01 00:32:28.129
8,16,2.514,2025-08-01 00:32:27.999
9,13,0.3252,2025-08-01 00:32:28.049
10,5,3.0044,2025-08-01 00:32:28.227
11,8,22.29,2025-08-01 00:32:14.330
12,3,784.17,2025-08-01 00:32:27.136
13,10,16.83,2025-08-01 00:32:26.871
14,19,14.21,2025-08-01 00:32:08.185
15,4,171.01,2025-08-01 00:32:28.221
16,6,0.7352,2025-08-01 00:32:28.222
17,17,0.3984,2025-08-01 00:32:24.943
18,7,0.20854,2025-08-01 00:32:28.229
19,15,2.379,2025-08-01 00:32:23.652
20,18,0.24901,2025-08-01 00:32:38.522
21,12,105.92,2025-08-01 00:32:38.520
22,9,3.655,2025-08-01 00:32:35.230
23,2,3687.41,2025-08-01 00:32:38.617
24,20,0.5658,2025-08-01 00:32:32.458
25,14,4.179,2025-08-01 00:32:38.523
26,1,115643.98,2025-08-01 00:32:38.246
27,16,2.512,2025-08-01 00:32:38.530
28,13,0.3252,2025-08-01 00:32:36.535
29,5,3.0017,2025-08-01 00:32:38.550
30,8,22.27,2025-08-01 00:32:38.511
31,3,783.96,2025-08-01 00:32:38.640
32,10,16.82,2025-08-01 00:32:32.454
33,19,14.21,2025-08-01 00:32:35.607
34,4,170.89,2025-08-01 00:32:38.522
35,6,0.7347,2025-08-01 00:32:37.509
36,17,0.3982,2025-08-01 00:32:37.648
37,7,0.20838,2025-08-01 00:32:38.527
38,15,2.378,2025-08-01 00:32:37.504
39,18,0.24903,2025-08-01 00:32:47.878
40,12,105.86,2025-08-01 00:32:47.849
41,9,3.654,2025-08-01 00:32:45.914
42,2,3684.1,2025-08-01 00:32:47.876
43,20,0.5652,2025-08-01 00:32:43.576
44,14,4.178,2025-08-01 00:32:41.499
45,1,115614.34,2025-08-01 00:32:48.189
